==================================================================
fastsimcoal started on 26/06/2025 at 14:57:49

TMRCAs per non-recombining segment
Locus	Segment_length	Data_Type	Time_(gen)	deme	Num_Mutations
558	1	data unknown	3065.13	0	0
559	1	data unknown	501.003	0	0
560	1	data unknown	528.835	0	0
561	1	data unknown	1184.53	0	0
562	1	data unknown	1064.12	0	0
563	1	data unknown	955.173	0	0
564	1	data unknown	772.621	0	0
565	1	data unknown	1048.97	0	0
566	1	data unknown	963.81	0	0
567	1	data unknown	830.894	0	0
568	1	data unknown	2441.36	0	0
569	1	data unknown	4124.14	0	0
570	1	data unknown	545.391	0	0
571	1	data unknown	1502.93	0	0
572	1	data unknown	1091.46	0	0
573	1	data unknown	2617.91	0	0
574	1	data unknown	1547.64	0	0
575	1	data unknown	1800.57	0	0
576	1	data unknown	1021.5	0	0
577	1	data unknown	1267.15	0	0
578	1	data unknown	1883.82	0	0
579	1	data unknown	1236.05	0	0
580	1	data unknown	717.159	0	0
581	1	data unknown	1696.98	0	0
582	1	data unknown	1230.19	0	0
583	1	data unknown	1326.81	0	0
584	1	data unknown	726.952	0	0
585	1	data unknown	572.666	0	0
586	1	data unknown	849.27	0	0
587	1	data unknown	906.204	0	0
588	1	data unknown	196.419	0	0
589	1	data unknown	1207.5	0	0
590	1	data unknown	1624.69	0	0
591	1	data unknown	2763.97	0	0
592	1	data unknown	1478.29	0	0
593	1	data unknown	667.686	0	0
594	1	data unknown	1084.16	0	0
595	1	data unknown	864.685	0	0
596	1	data unknown	1538.61	0	0
597	1	data unknown	1304.02	0	0
598	1	data unknown	2348.3	0	0
599	1	data unknown	863.792	0	0
600	1	data unknown	649.002	0	0
601	1	data unknown	764.286	0	0
602	1	data unknown	5219.36	0	0
603	1	data unknown	637.852	0	0
604	1	data unknown	693.108	0	0
605	1	data unknown	1707.53	0	0
606	1	data unknown	772.068	0	0
607	1	data unknown	2955.64	0	0
608	1	data unknown	3684.14	0	0
609	1	data unknown	2603.42	0	0
610	1	data unknown	1846.18	0	0
611	1	data unknown	1282.24	0	0
612	1	data unknown	2166.38	0	0
613	1	data unknown	594.574	0	0
614	1	data unknown	1471.24	0	0
615	1	data unknown	3784.67	0	0
616	1	data unknown	782.124	0	0
617	1	data unknown	1794.69	0	0
618	1	data unknown	1514.48	0	0
619	1	data unknown	1382.07	0	0
620	1	data unknown	795.792	0	0
621	1	data unknown	1010.84	0	0
622	1	data unknown	1693.79	0	0
623	1	data unknown	1869.18	0	0
624	1	data unknown	3268.02	0	0
625	1	data unknown	820.358	0	0
626	1	data unknown	520.325	0	0
627	1	data unknown	1211.62	0	0
628	1	data unknown	2767.07	0	0
629	1	data unknown	887.054	0	0
630	1	data unknown	1369.61	0	0
631	1	data unknown	1583.71	0	0
632	1	data unknown	2017.81	0	0
633	1	data unknown	979.023	0	0
634	1	data unknown	847.332	0	0
635	1	data unknown	792.29	0	0
636	1	data unknown	559.532	0	0
637	1	data unknown	467.339	0	0
638	1	data unknown	1204.07	0	0
639	1	data unknown	1797.82	0	0
640	1	data unknown	2671.78	0	0
641	1	data unknown	700.703	0	0
642	1	data unknown	849.663	0	0
643	1	data unknown	4580.28	0	0
644	1	data unknown	1507.73	0	0
645	1	data unknown	787.422	0	0
646	1	data unknown	626.225	0	0
647	1	data unknown	893.688	0	0
648	1	data unknown	622.616	0	0
649	1	data unknown	702.374	0	0
650	1	data unknown	4012.04	0	0
651	1	data unknown	1840.84	0	0
652	1	data unknown	722.614	0	0
653	1	data unknown	533.07	0	0
654	1	data unknown	567.997	0	0
655	1	data unknown	677.551	0	0
656	1	data unknown	1106.53	0	0
657	1	data unknown	2183.12	0	0
658	1	data unknown	1080.7	0	0
659	1	data unknown	792.149	0	0
660	1	data unknown	1404.58	0	0
661	1	data unknown	674.328	0	0
662	1	data unknown	987.019	0	0
663	1	data unknown	1184.99	0	0
664	1	data unknown	1536.7	0	0
665	1	data unknown	4462.39	0	0
666	1	data unknown	500.74	0	0
667	1	data unknown	1635.18	0	0
668	1	data unknown	2763.79	0	0
669	1	data unknown	552.055	0	0
670	1	data unknown	1422.47	0	0
671	1	data unknown	525.295	0	0
672	1	data unknown	561.638	0	0
673	1	data unknown	1417.08	0	0
674	1	data unknown	972.237	0	0
675	1	data unknown	1020.84	0	0
676	1	data unknown	870.88	0	0
677	1	data unknown	714.851	0	0
678	1	data unknown	1478.11	0	0
679	1	data unknown	999.126	0	0
680	1	data unknown	1296.6	0	0
681	1	data unknown	1097.77	0	0
682	1	data unknown	627.991	0	0
683	1	data unknown	2416.57	0	0
684	1	data unknown	1448.95	0	0
685	1	data unknown	552.895	0	0
686	1	data unknown	1405.64	0	0
687	1	data unknown	333.061	0	0
688	1	data unknown	1262.41	0	0
689	1	data unknown	2479.05	0	0
690	1	data unknown	1335.44	0	0
691	1	data unknown	980.679	0	0
692	1	data unknown	1304.94	0	0
693	1	data unknown	851.879	0	0
694	1	data unknown	1201.5	0	0
695	1	data unknown	578.541	0	0
696	1	data unknown	2932.23	0	0
697	1	data unknown	1426.26	0	0
698	1	data unknown	6054.78	0	0
699	1	data unknown	2769.16	0	0
700	1	data unknown	601.624	0	0
701	1	data unknown	831.951	0	0
702	1	data unknown	764.08	0	0
703	1	data unknown	2462.89	0	0
704	1	data unknown	929.199	0	0
705	1	data unknown	1387.26	0	0
706	1	data unknown	1284.78	0	0
707	1	data unknown	2743.71	0	0
708	1	data unknown	3899.89	0	0
709	1	data unknown	1078	0	0
710	1	data unknown	779.282	0	0
711	1	data unknown	1423.02	0	0
712	1	data unknown	1168.29	0	0
713	1	data unknown	536.266	0	0
714	1	data unknown	2281.67	0	0
715	1	data unknown	592.213	0	0
716	1	data unknown	1263.73	0	0
717	1	data unknown	1891.32	0	0
718	1	data unknown	1579.13	0	0
719	1	data unknown	1844.41	0	0
720	1	data unknown	1576.47	0	0
721	1	data unknown	850.483	0	0
722	1	data unknown	1304.68	0	0
723	1	data unknown	2669.23	0	0
724	1	data unknown	1421.48	0	0
725	1	data unknown	1086.78	0	0
726	1	data unknown	544.426	0	0
727	1	data unknown	957.962	0	0
728	1	data unknown	1288.64	0	0
729	1	data unknown	1628.86	0	0
730	1	data unknown	915.009	0	0
731	1	data unknown	2236.16	0	0
732	1	data unknown	1325.53	0	0
733	1	data unknown	663.967	0	0
734	1	data unknown	1108.72	0	0
735	1	data unknown	779.205	0	0
736	1	data unknown	1960.49	0	0
737	1	data unknown	515.186	0	0
738	1	data unknown	612.957	0	0
739	1	data unknown	500.309	0	0
740	1	data unknown	713.871	0	0
741	1	data unknown	2165.89	0	0
742	1	data unknown	1810.58	0	0
743	1	data unknown	611.111	0	0
744	1	data unknown	602.825	0	0
745	1	data unknown	747.665	0	0
